strategy,pair,func,dim,n,improve_pct,wilcoxon_p,significant_005,significant_001,cohens_d,effect_size
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,2,0.0039,NaN,0,0,0.0189,small
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,20,0.1117,0.545876,0,0,0.062,small
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,5,-0.0011,1.0,0,0,-0.0025,small
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,2,-0.0183,NaN,0,0,-0.1249,small
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,15,0.2744,0.524475,0,0,0.0897,small
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,5,0.0118,0.625,0,0,0.0204,small
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,10,0.0152,0.625,0,0,0.0088,small
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,3,-0.0242,0.25,0,0,-0.0341,small
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,2,-0.0272,NaN,0,0,-0.2768,small
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,2,0.3837,NaN,0,0,1.347,large
