strategy,pair,func,dim,improve_pct,time_overhead_pct,cost_benefit
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,0.2744,0.06,4.8515
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,0.0152,-0.48,inf
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,-0.0034,0.85,-0.004
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.0118,5.99,0.002
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,-0.0242,0.1,-0.2308
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,-0.0272,-0.35,inf
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.3837,0.2,1.944
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,4.6026,5.49,0.8387
best1bin,SMCO_vs_SMCO_EVO,Griewank,50,-0.0079,3.11,-0.0025
best1bin,SMCO_vs_SMCO_EVO,Griewank,100,0.0112,-1.01,inf
best1bin,SMCO_vs_SMCO_EVO,Griewank,200,-0.0137,2.06,-0.0066
best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,0.5102,-2.32,inf
best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,0.2448,-1.24,inf
best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,0.1831,5.99,0.0306
best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,0.1775,-1.35,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,0.0472,-2.19,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,0.0203,-1.49,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,-0.0,-0.25,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,-0.0,7.62,-0.0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,-0.0,-2.64,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.0244,-4.98,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.0307,2.24,0.0137
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.005,2.01,0.0025
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.0201,-2.7,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,0.5687,9.41,0.0604
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,0.6341,-1.31,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,0.9425,-1.49,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,0.981,-0.47,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.9958,-2.05,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,1.1774,-5.51,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2.7465,-0.73,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,1.9461,0.43,4.5209
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,1.8672,9.89,0.1887
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,1.1736,-1.91,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,0.4337,4.48,0.0967
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,1.4653,1.18,1.2427
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,0.1471,1.97,0.0746
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,2.0298,3.67,0.5526
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,2.4387,5.84,0.4179
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,3.7459,-0.21,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,3.5902,0.85,4.2256
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,4.0557,-2.88,inf
