strategy,dim,algo,mean_fopt,mean_time,fopt_per_second,is_evo
rand1bin,200,PSO,3.762631572923393e+18,0.34268593988846985,1.0979824775267916e+19,False
rand1bin,200,SA,2.0403010014541787e+19,28.25101348239463,7.222045335561667e+17,False
rand1bin,200,SMCO,1.7810208048069521e+19,41.18735977973789,4.3241926997299904e+17,False
rand1bin,200,SMCO_BR,1.2926396037421769e+19,41.314854195956144,3.1287526699506035e+17,False
rand1bin,200,SMCO_BR_EVO,1.3040172386097609e+19,41.06915121719241,3.175174553069097e+17,True
rand1bin,200,SMCO_EVO,1.7855523728112e+19,40.66368063584901,4.391024975828334e+17,True
rand1bin,200,SMCO_R,1.6252816173831619e+19,41.36690716647543,3.928941583286465e+17,False
rand1bin,200,SMCO_R_EVO,1.6297290016202312e+19,39.904593385430054,4.084063671264664e+17,True
rand1bin,200,SPSA,1.1236939043194172e+18,0.41604562317021193,2.7008910603529974e+18,False
rand1bin,200,SignGD,2.040301001454061e+19,12.208928859266452,1.6711547957833283e+18,False
rand1bin,200,optimLBFGS,2.04030100145428e+19,2.275821406496689,8.965119124154122e+18,False
rand1bin,200,optimNM,1.6311347220064938e+17,1.2014954794896766,1.3575870653290366e+17,False
rand1bin,500,DEoptim,3.2359238817458196e+21,550.3550561802462,5.87970228565689e+18,False
rand1bin,500,GA,1.5859667390160062e+22,1.4221976864151658,1.1151521016840083e+22,False
rand1bin,500,GenSA,3.845306518625537e+22,45.11064437543973,8.524166683637744e+20,False
rand1bin,500,PSO,3.132891915331206e+21,0.5847908520838245,5.357286120614852e+21,False
rand1bin,500,SA,3.845306518625534e+22,90.14855136332335,4.265522252407469e+20,False
rand1bin,500,SMCO,3.13256432271709e+22,181.5872385672992,1.7251015806136127e+20,False
rand1bin,500,SMCO_BR,1.9869944763363273e+22,188.19644511634252,1.0558087189733966e+20,False
rand1bin,500,SMCO_BR_EVO,1.99690882505614e+22,187.7665918958606,1.0635059223760467e+20,True
rand1bin,500,SMCO_EVO,3.1321508856571204e+22,182.3643189085764,1.7175239676284168e+20,True
rand1bin,500,SMCO_R,2.7417060218901723e+22,180.59254072020994,1.5181723513917817e+20,False
rand1bin,500,SMCO_R_EVO,2.751341144720437e+22,181.36848680850818,1.5169896342716626e+20,True
rand1bin,1000,DEoptim,53652180.107309625,1864.4671579656967,28776.146513542793,False
rand1bin,1000,GA,76254044.79270051,2.003146746723602,38067128.59026608,False
rand1bin,1000,GenSA,269867931.47379434,138.28690152053412,1951507.5434221213,False
rand1bin,1000,PSO,177605772.03883043,0.8366171610541642,212290376.4190559,False
rand1bin,1000,SA,180876561.41765806,243.3581521980154,743252.5263032183,False
rand1bin,1000,SMCO,154472732.06927583,749.6286637693644,206065.66895739984,False
rand1bin,1000,SMCO_BR,116074072.00668001,752.6071884542238,154229.28957811842,False
rand1bin,1000,SMCO_BR_EVO,122591457.99217145,767.2053658568922,159789.62537005846,True
rand1bin,1000,SMCO_EVO,154486883.27773914,779.1307241708506,198281.08234615414,True
rand1bin,1000,SMCO_R,140914035.98528636,736.617376131285,191298.82154744567,False
rand1bin,1000,SMCO_R_EVO,140906831.5688873,752.326326064129,187294.83029798462,True
rand1bin,2000,DEoptim,99640012.4492048,6147.884543157933,16207.20294106622,False
rand1bin,2000,GA,126333393.76704887,3.277956839211078,38540285.90487913,False
rand1bin,2000,GenSA,539908382.5067997,447.78034224798387,1205743.824742969,False
