strategy,variant,base_algo,evo_algo,func,dim,improve_pct,win_rate,n
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,2000,0.00420275137817453,66.66666666666666,3
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,3000,0.007297454801431467,50.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,4000,0.005716570369073786,50.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,50,0.10774852319366873,55.00000000000001,20
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,500,-0.001839197339917592,60.0,5
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,5000,-0.018797457354756228,0.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,100,0.010865619537083282,46.666666666666664,15
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,1000,0.009161317537176791,80.0,5
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,200,0.007393445079980654,60.0,10
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,2000,-0.02344974426545639,0.0,3
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,3000,-0.019211183082322083,0.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,4000,0.010114430581560441,50.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,50,0.8549776856996988,65.0,20
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,500,-0.02009728398265111,20.0,5
rand1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,5000,-0.0071447473376543055,50.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Zakharov,100,0.10731660376718617,60.0,15
rand1bin,BASE,SMCO,SMCO_EVO,Zakharov,200,0.25443655638511625,80.0,10
rand1bin,BASE,SMCO,SMCO_EVO,Zakharov,50,0.18420815671189272,60.0,20
rand1bin,BASE,SMCO,SMCO_EVO,Zakharov,500,-0.013198038966717342,60.0,5
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,100,0.7138019949808899,100.0,15
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,1000,1.0421135556771681,100.0,5
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,200,1.011820760503889,100.0,10
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,2000,1.2667892911227419,100.0,3
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,3000,2.8424174494603194,100.0,2
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,4000,2.071011294320286,100.0,2
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,50,0.5760318959058635,100.0,20
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,500,0.9891338503682231,100.0,5
rand1bin,R,SMCO_R,SMCO_R_EVO,Ackley,5000,1.9664788165617164,100.0,2
rand1bin,R,SMCO_R,SMCO_R_EVO,Griewank,100,0.03409630310091153,60.0,15
rand1bin,R,SMCO_R,SMCO_R_EVO,Griewank,200,-0.05012563722663749,30.0,10
rand1bin,R,SMCO_R,SMCO_R_EVO,Griewank,50,-0.020986600274819973,55.00000000000001,20
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,100,0.020493003032304977,46.666666666666664,15
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,1000,1.577844360232675e-05,40.0,5
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,200,7.050390776210652e-05,60.0,10
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,2000,0.026432254579716274,100.0,3
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,3000,0.030126079124885238,100.0,2
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,4000,0.012324670975739058,50.0,2
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,50,0.046797522164602375,50.0,20
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,500,0.00013920657401323276,60.0,5
rand1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,5000,0.01942515201609496,50.0,2
rand1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,100,0.15722194658273506,46.666666666666664,15
rand1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,1000,-0.005113040098446507,60.0,5
rand1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,200,-0.033319012392257104,40.0,10
rand1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,2000,0.7253381027277197,100.0,3
rand1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,3000,0.22869908594826588,50.0,2
rand1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,4000,4.236220401262266,100.0,2
rand1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,50,0.8420574955092965,60.0,20
rand1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,500,0.05496476376915144,100.0,5
