strategy,algo_a,algo_b,a_wins,b_wins,total,a_win_rate,b_win_rate
rand1bin,BOBYQA,SMCO_R_EVO,112,113,225,49.77777777777778,50.22222222222222
rand1bin,BOBYQA,SPSA,140,85,225,62.22222222222222,37.77777777777778
rand1bin,BOBYQA,SignGD,90,122,225,40.0,54.22222222222223
rand1bin,BOBYQA,optimLBFGS,91,121,225,40.44444444444444,53.77777777777778
rand1bin,BOBYQA,optimNM,225,0,225,100.0,0.0
rand1bin,DEoptim,GA,5,282,287,1.7421602787456445,98.25783972125436
rand1bin,DEoptim,GD,33,192,225,14.666666666666666,85.33333333333334
rand1bin,DEoptim,GenSA,0,287,287,0.0,100.0
rand1bin,DEoptim,PSO,35,252,287,12.195121951219512,87.8048780487805
rand1bin,DEoptim,SA,0,287,287,0.0,100.0
rand1bin,DEoptim,SMCO,55,232,287,19.16376306620209,80.8362369337979
rand1bin,DEoptim,SMCO_BR,0,287,287,0.0,100.0
rand1bin,DEoptim,SMCO_BR_EVO,0,287,287,0.0,100.0
rand1bin,DEoptim,SMCO_EVO,0,287,287,0.0,100.0
rand1bin,DEoptim,SMCO_R,0,287,287,0.0,100.0
rand1bin,DEoptim,SMCO_R_EVO,0,287,287,0.0,100.0
rand1bin,DEoptim,SPSA,135,90,225,60.0,40.0
