strategy,func,dim,algo,mean,std,min,max,median,n,is_evo
current-to-best1bin,Ackley,4000,SMCO_BR,21.90941467,0.00302392,21.90727643,21.9115529,21.90941467,2,False
current-to-best1bin,Ackley,4000,SMCO_BR_EVO,22.14027055,0.0089876,22.13391536,22.14662574,22.14027055,2,True
current-to-best1bin,Ackley,4000,SMCO_EVO,22.06464569,0.00349635,22.0621734,22.06711798,22.06464569,2,True
current-to-best1bin,Ackley,4000,SMCO_R,21.69659647,0.00257511,21.69477559,21.69841735,21.69659647,2,False
current-to-best1bin,Ackley,4000,SMCO_R_EVO,22.09349817,0.0051585,22.08985057,22.09714578,22.09349817,2,True
current-to-best1bin,Ackley,5000,DEoptim,21.32833238,0.00054819,21.32794475,21.32872001,21.32833238,2,False
current-to-best1bin,Ackley,5000,GA,21.38560647,0.02742151,21.36621653,21.4049964,21.38560647,2,False
current-to-best1bin,Ackley,5000,GenSA,21.7314873,0.01241529,21.72270836,21.74026623,21.7314873,2,False
current-to-best1bin,Ackley,5000,PSO,21.7214349,0.00749892,21.71613237,21.72673744,21.7214349,2,False
current-to-best1bin,Ackley,5000,SA,21.66547433,0.01439947,21.65529236,21.67565629,21.66547433,2,False
current-to-best1bin,Ackley,5000,SMCO,21.69704496,0.00367952,21.69444314,21.69964677,21.69704496,2,False
current-to-best1bin,Ackley,5000,SMCO_BR,21.91259762,0.00350619,21.91011837,21.91507687,21.91259762,2,False
current-to-best1bin,Ackley,5000,SMCO_BR_EVO,22.15204417,0.01525714,22.14125574,22.16283259,22.15204417,2,True
current-to-best1bin,Ackley,5000,SMCO_EVO,22.06094277,0.00859661,22.05486405,22.06702149,22.06094277,2,True
current-to-best1bin,Ackley,5000,SMCO_R,21.7257027,0.00345012,21.7232631,21.7281423,21.7257027,2,False
current-to-best1bin,Ackley,5000,SMCO_R_EVO,22.11214145,0.01465365,22.10177976,22.12250315,22.11214145,2,True
current-to-best1bin,Rastrigin,1000,DEoptim,19911.6980942,97.73368801,19774.33004918,20030.22702656,19916.28930127,5,False
current-to-best1bin,Rastrigin,1000,GA,21059.08355685,235.41222602,20677.71017416,21310.50662155,21121.16228081,5,False
current-to-best1bin,Rastrigin,1000,GenSA,40353.29019372,6e-08,40353.29019365,40353.2901938,40353.2901937,5,False
current-to-best1bin,Rastrigin,1000,PSO,29165.33059818,48.87384343,29105.04008251,29220.69678724,29164.71382455,5,False
current-to-best1bin,Rastrigin,1000,SA,40353.29019378,1e-08,40353.29019377,40353.2901938,40353.29019377,5,False
current-to-best1bin,Rastrigin,1000,SMCO,29109.96616976,141.88767119,28922.36959267,29278.36342889,29108.12251926,5,False
current-to-best1bin,Rastrigin,1000,SMCO_BR,29126.31025437,142.08459791,28939.05516514,29296.60120728,29122.49215559,5,False
current-to-best1bin,Rastrigin,1000,SMCO_BR_EVO,29125.55358528,141.93450206,28937.26075646,29294.11718581,29122.68358478,5,True
current-to-best1bin,Rastrigin,1000,SMCO_EVO,29109.53341967,142.29818302,28920.67013151,29278.11114003,29108.52593224,5,True
current-to-best1bin,Rastrigin,1000,SMCO_R,29138.03230207,142.43430035,28949.1388329,29306.84325526,29136.08325289,5,False
current-to-best1bin,Rastrigin,1000,SMCO_R_EVO,29138.02210024,142.48285145,28949.04784351,29306.83649116,29135.99616427,5,True
current-to-best1bin,Rastrigin,2000,DEoptim,39049.42474348,156.54028643,38900.21049065,39212.38452316,39035.67921663,3,False
