label,algo,baseline_strategy,strategy,baseline_gap,strategy_gap,gap_improvement_vs_baseline,winner
table3_MaximumScore_d10,SMCO_EVO,rand1bin,best1bin,0.0406399999999999,0.04056000000000004,7.999999999985796e-05,best1bin
table3_MaximumScore_d10,SMCO_EVO,rand1bin,sobol,0.0406399999999999,0.04056000000000004,7.999999999985796e-05,sobol
table3_MaximumScore_d10,SMCO_R_EVO,rand1bin,current-to-best1bin,0.04028000000000004,0.04079999999999989,-0.0005199999999998539,rand1bin
table3_MaximumScore_d10,SMCO_R_EVO,rand1bin,best1bin,0.04028000000000004,0.04079999999999989,-0.0005199999999998539,rand1bin
table3_MaximumScore_d10,SMCO_R_EVO,rand1bin,sobol,0.04028000000000004,0.04079999999999989,-0.0005199999999998539,rand1bin
table3_MaximumScore_d10,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.045040000000000024,0.044359999999999955,0.0006800000000000694,current-to-best1bin
table3_MaximumScore_d10,SMCO_BR_EVO,rand1bin,best1bin,0.045040000000000024,0.044359999999999955,0.0006800000000000694,best1bin
table3_MaximumScore_d10,SMCO_BR_EVO,rand1bin,sobol,0.045040000000000024,0.044359999999999955,0.0006800000000000694,sobol
table3_MaximumScore_d20,SMCO_EVO,rand1bin,current-to-best1bin,0.03231999999999996,0.031039999999999957,0.0012800000000000034,current-to-best1bin
table3_MaximumScore_d20,SMCO_EVO,rand1bin,best1bin,0.03231999999999996,0.031039999999999957,0.0012800000000000034,best1bin
table3_MaximumScore_d20,SMCO_EVO,rand1bin,sobol,0.03231999999999996,0.031039999999999957,0.0012800000000000034,sobol
